Film	Year	Awards	Nominations		Note: data taken from http://en.wikipedia.org/wiki/List_of_Academy_Award-winning_films released under CC-BY-SA http://creativecommons.org/licenses/by-sa/3.0/
Hearts and Minds	1974	1	1		
Heaven Can Wait	1978	1	9		
Heavenly Music	1943	1	1		
Helen Keller in Her Story(The Unconquered)	1955	1	1		
Hello, Frisco, Hello	1943	1	2		
Henry V	1989	1	3		
Herb Alpert and the Tijuana Brass Double Feature	1966	1	1		
Here Comes the Groom	1951	1	2		
Heureux Anniversaire(Happy Anniversary)	1962	1	1		
Hitler Lives	1945	1	1		
Holiday Inn	1942	1	3		
Hotel Terminus: The Life and Times of Klaus Barbie	1988	1	1		
How to Sleep	1935	1	1		
Hustle & Flow	2005	1	2		
I Am a Promise: The Children of Stanton Elementary School	1993	1	1		
I Want to Live!	1958	1	6		
I Wanted Wings	1941	1	1		
I Won't Play	1944	1	1		
I'll Cry Tomorrow	1955	1	4		
I'll Find a Way	1977	1	1		
If You Love This Planet	1982	1	1		
Il Postino(The Postman)	1995	1	5		
In Beaver Valley	1950	1	1		
In Old Arizona	1928/29	1	5		
In the Region of Ice	1976	1	1		
In the Shadow of the Stars	1991	1	1		
Independence Day	1996	1	2		
Indiana Jones and the Last Crusade	1989	1	3		
Indiana Jones and the Temple of Doom	1984	1	2		
Indochine	1992	1	2		
Inglourious Basterds	2009	1	8		
Innerspace	1987	1	1		
Inside Job	2010	1	1		
Interrupted Melody	1955	1	3		
Interviews with My Lai Veterans	1970	1	1		
Into the Arms of Strangers: Stories of the Kindertransport	2000	1	1		
Investigation of a Citizen Above Suspicion(Indagine su un cittadino al di sopra di ogni sospetto)	1970	1	2		
Iris	2001	1	3		
Irma la Douce	1963	1	3		
Is It Always Right to Be Right?	1970	1	1		
It's Tough to Be a Bird	1969	1	1		
It's a Mad Mad Mad Mad World	1963	1	6		
Jacques-Yves Cousteau's World Without Sun(Le Monde sans soleil)	1964	1	1		
Jerry Maguire	1996	1	5		
Johann Mouse	1952	1	1		
Johnny Belinda	1948	1	12		
Johnny Eager	1942	1	1		
Journey Into Self	1968	1	1		
Journey of Hope(Reise der Hoffnung)	1990	1	1		
Julius Caesar	1953	1	5		
Juno	2007	1	4		
Just Another Missing Kid	1982	1	1[7]		
Karl Hess: Toward Liberty	1980	1	1		
Kentucky	1938	1	1		
Key Largo	1948	1	1		
King Gimp	1999	1	1		
King of Jazz	1929/30	1	1		
Kiss of the Spider Woman	1985	1	4		
Kitty Foyle(Kitty Foyle: The Natural History of a Woman)	1940	1	5		
Klute	1971	1	2		
Knighty Knight Bugs	1958	1	1		
Kolya	1996	1	1		
Kon-Tiki	1951	1	1		
Krakatoa	1932/33	1	1		
La Cucaracha	1934	1	1		
La Dolce Vita	1961	1	4		
La Strada	1956	1	2		
Lady Be Good	1941	1	1		
Laura	1944	1	5		
Le Mozart des Pickpockets(The Mozart of Pickpockets)	2007	1	1		
Le Mozart des pickpockets	2006	1	1		
Leave Her to Heaven	1945	1	4		
Leaving Las Vegas	1995	1	4		
Legends of the Fall	1994	1	3		
Leisure	1976	1	1		
Lemony Snicket's A Series of Unfortunate Events	2004	1	4		
Lend a Paw	1941	1	1		
Les Girls	1957	1	3		
Let It Be	1970	1	1		
Letters from Iwo Jima	2006	1	4		
Lieberman in Love	1995	1	1		
Light in the Window	1952	1	1		
Lili	1953	1	6		
Lilies of the Field	1963	1	5		
Limelight	1972	1	1[9]		
Little Women	1932/33	1	3		
Little Women	1949	1	2		
Logorama	2009	1	1		
Lost in Translation	2003	1	4		
Love Me or Leave Me	1955	1	6		
Love Story	1970	1	7		
Lovers and Other Strangers	1970	1	3		
Lust for Life	1956	1	4		
M* A* S* H	1970	1	5		
Madame Rosa(La Vie devant soi)	1977	1	1		
Magoo's Puddle Jumper	1956	1	1		
Main Street on the March!	1941	1	1		
Man on Wire	2008	1	1		
Manhattan Melodrama	1934	1	1		
Manipulation	1991	1	1		
March of the Penguins(La Marche de l'empereur)	2005	1	1		
Marie Antoinette	2006	1	1		
Marie-Louise	1945	1	1		
Marjoe	1972	1	1		
Marooned	1969	1	3		
Mask	1985	1	1		
Maya Lin: A Strong Clear Vision	1994	1	1		
Mediterraneo	1991	1	1		
Men Against the Arctic	1955	1	1		
Men in Black	1997	1	3		
Mephisto	1981	1	1		
Michael Clayton	2007	1	7		
Midnight in Paris	2011	1	4		
Mighty Aphrodite	1995	1	2		
Mighty Joe Young	1949	1	1		
Mighty Times: The Children's March	2004	1	1		
Mildred Pierce	1945	1	6		
Min and Bill	1930/31	1	1		
Misery	1990	1	1		
Missing	1982	1	4		
Mississippi Burning	1988	1	7		
Mister Roberts	1955	1	3		
Molly's Pilgrim	1985	1	1		
Mona Lisa Descending a Staircase	1992	1	1		
Monster	2003	1	1		
Monster's Ball	2001	1	2		
Monsters, Inc.	2001	1	4		
Moonbird	1959	1	1		
Morning Glory	1932/33	1	1		
Moscow Does Not Believe in Tears	1980	1	1		
Mother Wore Tights	1947	1	3		
Mouse Trouble	1944	1	1		
Mr. Deeds Goes to Town	1936	1	5		
Mr. Smith Goes to Washington	1939	1	11		
Mrs. Doubtfire	1993	1	1		
Munro	1960	1	1		
Murder on a Sunday Morning	2001	1	1		
Murder on the Orient Express	1974	1	6		
Music by Prudence	2009	1	1		
Mutiny on the Bounty	1935	1	8		
My Cousin Vinny	1992	1	1		
My Gal Sal	1942	1	2		
My Mother Dreams the Satan's Disciples in New York	1999	1	1		
My Uncle(Mon oncle)	1958	1	1		
Nashville	1975	1	5		
Nature's Half Acre	1951	1	1		
Naughty Marietta	1935	1	2		
Neighbours	1952	1	2		
Neptune's Daughter	1949	1	1		
Never on Sunday(Pote tin Kyriaki)	1960	1	5		
Nights of Cabiria(Le Notti di Cabiria)	1957	1	1		
Nine from Little Rock	1964	1	1		
No Man's Land	2001	1	1		
None But the Lonely Heart	1944	1	4		
Norman Rockwell's World... An American Dream	1972	1	1		
North West Mounted Police	1940	1	5		
Now, Voyager	1942	1	3		
Nowhere in Africa(Nirgendwo in Afrika)	2002	1	1		
Number Our Days	1976	1	1		
Of Pups and Puzzles	1941	1	1		
Omnibus	1992	1	1		
On the Town	1949	1	1		
Once	2007	1	1		
One Day in September	1999	1	1		
One Hundred Men and a Girl	1937	1	5		
One Survivor Remembers	1995	1	1		
One Way Passage	1932/33	1	1		
One-Eyed Men Are Kings(...borgnes sont rois, Les)	1974	1	1		
Overture to The Merry Wives of Windsor	1953	1	1		
Panic in the Streets	1950	1	1		
Papa's Delicate Condition	1963	1	1		
Paper Moon	1973	1	4		
Paul Robeson: Tribute to an Artist	1979	1	1		
Pearl Harbor	2001	1	4		
Pelle the Conqueror(Pelle erobreren)	1988	1	2		
Penny Wisdom	1937	1	1		
Peter & the Wolf	2007	1	1		
Pillow Talk	1959	1	5		
Pirates of the Caribbean: Dead Man's Chest	2006	1	4		
Plymouth Adventure	1952	1	1		
Pollock	2000	1	2		
Porgy and Bess	1959	1	4		
Portrait of Jennie	1948	1	2		
Precious Images	1986	1	1		
Pride and Prejudice	1940	1	1		
Princess O'Rourke	1943	1	1		
Princeton: A Search for Answers	1973	1	1		
Prizzi's Honor	1985	1	8		
Project Hope	1961	1	1		
Pulp Fiction	1994	1	7		
Purple Rain	1984	1	1		
Pygmalion	1938	1	4		
Quest	1996	1	1		
Quest for Fire	1982	1	1		
Quicker 'N a Wink	1940	1	1		
Quiero ser (I want to be ...)	2000	1	1		
Quiet Please!	1945	1	1		
Ran	1985	1	4		
Rango	2011	1	1		
Ratatouille	2007	1	5		
Ray's Male Heterosexual Dance Hall	1987	1	1		
Reap the Wild Wind	1942	1	3		
Reversal of Fortune	1990	1	3		
Road to Perdition	2002	1	6		
Robert Frost: A Lover's Quarrel with the World	1963	1	1		
Robert Kennedy Remembered	1968	1	1		
Rosemary's Baby	1968	1	2		
Ryan	2004	1	1		
Sabrina	1954	1	6		
San Francisco	1936	1	6		
Save the Tiger	1973	1	3		
Saving Face	2011	1	1		
Scared Straight!	1978	1	1		
Scent of a Woman	1992	1	4		
Schwarzfahrer(Black Rider)	1993	1	1		
Seal Island	1948	1	1		
Searching for Sugar Man	2012	1	1		
Seawards the Great Ships	1961	1	1		
Seeds of Destiny	1946	1	1		
Sense and Sensibility	1995	1	7		
Serengeti Shall Not Die(Serengeti darf nicht sterben)	1959	1	1		
Session Man	1991	1	1		
Seven Brides for Seven Brothers	1954	1	5		
Seven Days to Noon	1951	1	1		
Shaft	1971	1	2		
Shampoo	1975	1	4		
Shane	1953	1	6		
Shanghai Express	1931/32	1	3		
She Wore a Yellow Ribbon	1949	1	1		
Shine	1996	1	7		
Shrek	2001	1	2		
Sideways	2004	1	5		
Silver Linings Playbook	2012	1	8		
Since You Went Away	1944	1	9		
Six Shooter	2004	1	1		
Skippy	1930/31	1	4		
Sky Above and Mud Beneath(Le Ciel et la boue)	1961	1	1		
Sleepy Hollow	1999	1	3		
Sling Blade	1996	1	2		
So Much for So Little	1949	1	1		
So This Is Harris!	1932/33	1	1		
Some Like It Hot	1959	1	6		
Song Without End	1960	1	1		
Song of the South	1947	1	2[15]		
Sons and Lovers	1960	1	7		
Sons of Liberty	1939	1	1		
Sophie's Choice	1982	1	5		
South Pacific	1958	1	3		
Speaking of Animals and Their Families	1942	1	1		
Special Delivery	1978	1	1		
Speedy Gonzales	1955	1	1		
Spellbound	1945	1	6		
Spider-Man 2	2004	1	3		
Spirited Away	2002	1	1		
Splendor in the Grass	1961	1	2		
Stairway to Light	1945	1	1		
Stalag 17	1953	1	3		
Star Trek	2009	1	4		
Star in the Night	1945	1	1		
State Fair	1945	1	2		
Strike Up the Band	1940	1	3		
Summer of '42	1971	1	4		
Sunday in New York	1983	1	1		
Sundays and Cybele(Le Dimanches de Ville d'Avray)	1962	1	3		
Survival City	1955	1	1		
Suspicion	1941	1	3		
Sweeney Todd: The Demon Barber of Fleet Street	2007	1	3		
Sweet Bird of Youth	1962	1	3		
Swing Time	1936	1	2		
Symphony of a City	1948	1	1		
Syriana	2005	1	2		
Tabu	1930/31	1	1		
Talk to Her(Hable con ella)	2002	1	2		
Tango	1982	1	1		
Tarzan	1999	1	1		
Taxi to the Dark Side	2007	1	1		
Teddy, the Rough Rider	1940	1	1		
Teenage Father	1978	1	1		
Thank God It's Friday	1978	1	1		
That Hamilton Woman	1941	1	4		
That Mothers Might Live	1938	1	1		
The Abyss	1989	1	4		
The Accidental Tourist	1988	1	4		
The Accountant	2001	1	1		
The Accused	1988	1	1		
The Adventures of Priscilla, Queen of the Desert	1994	1	1		
The African Queen	1951	1	4		
The Age of Innocence	1993	1	5		
The Alamo	1960	1	7		
The Alaskan Eskimo	1953	1	1		
The Anderson Platoon(La Section Anderson)	1967	1	1		
The Appointments of Dennis Jennings	1988	1	1		
The Assault(De Aanslag)	1986	1	1		
The Awful Truth	1937	1	6		
The Bachelor and the Bobby-Soxer	1947	1	1		
The Barbarian Invasions	2003	1	2		
The Barefoot Contessa	1954	1	2		
The Battle of Midway	1942	1	1		
The Bells of St. Mary's	1945	1	8		
The Bespoke Overcoat	1956	1	1		
The Big Broadcast of 1938	1938	1	1		
The Big Country	1958	1	2		
The Bishop's Wife	1947	1	5		
The Black Swan	1942	1	3		
The Blind Side	2009	1	2		
The Blood of Yingzhou District	2006	1	1		
The Bolero	1973	1	1		
The Box	1967	1	1		
The Brave One	1956	1	3		
The Bridge of San Luis Rey	1928/29	1	1		
The Bridges at Toko-Ri	1955	1	2		
The Broadway Melody	1928/29	1	3		
The Buddy Holly Story	1978	1	3		
The Candidate	1972	1	2		
The Cat Concerto	1946	1	1		
The Charge of the Light Brigade	1936	1	3		
The Chicken(Le Poulet)	1965	1	1		
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	1	3		
The Chubbchubbs!	2002	1	1		
The Color of Money	1986	1	4		
The Constant Gardener	2005	1	4		
The Counterfeiters	2007	1	1		
The Country Cousin	1936	1	1		
The Cove	2009	1	1		
The Cowboy and the Lady	1938	1	3		
The Critic	1963	1	1		
The Crunch Bird	1971	1	1		
The Crying Game	1992	1	6		
The Danish Poet	2006	1	1		
The Dark Angel	1935	1	3		
The Dawn Patrol	1930/31	1	1		
The Descendants	2011	1	5		
The Dirty Dozen	1967	1	4		
The Discreet Charm of the Bourgeoisie(Le Charme discret de la bourgeoisie)	1972	1	2		
The Divine Lady	1928/29	1	3		
The Divorcee	1929/30	1	4		
The Dollar Bottom	1980	1	1		
The Dot and the Line(The Dot and the Line: A Romance in Lower Mathematics)	1965	1	1		
The Dove	1927/28	1	1		
The Duchess	2008	1	2		
The Eleanor Roosevelt Story	1965	1	1		
The Empire Strikes Back	1980	1	3[5]		
The End of the Game	1975	1	1		
The Enemy Below	1957	1	1		
The Face of Lincoln	1955	1	2		
The Facts of Life	1960	1	5		
The Fantastic Flying Books of Mr. Morris Lessmore	2011	1	1		
The Farmer's Daughter	1947	1	2		
The Fighting Lady	1944	1	1		
The Fisher King	1991	1	5		
The Flight of the Gossamer Condor	1978	1	1		
The Fly	1980	1	1		
The Fly	1986	1	1		
The Fog of War(The Fog of War: Eleven Lessons from the Life of Robert S. McNamara)	2003	1	1		
The Fortune Cookie	1966	1	4		
The Fugitive	1993	1	7		
The Full Monty	1997	1	4		
The Garden of the Finzi-Continis(Il Giardino dei Finzi-Contini)	1971	1	2		
The Ghost and the Darkness	1996	1	1		
The Girl with the Dragon Tattoo	2011	1	5		
The Glenn Miller Story	1954	1	3		
The Golden Compass	2007	1	2		
The Golden Fish(Histoire d'un poisson rouge)	1959	1	1		
The Goodbye Girl	1977	1	5		
The Graduate	1967	1	7		
The Great American Cowboy	1973	1	1		
The Great Caruso	1951	1	3		
The Great Lie	1941	1	1		
The Great McGinty	1940	1	1		
The Great Race	1965	1	5		
The Great Waltz	1938	1	3		
The Guns of Navarone	1961	1	7		
The Harvey Girls	1946	1	2		
The Hellstrom Chronicle	1971	1	1		
The Help	2011	1	4		
The High and the Mighty	1954	1	6		
The Hole	1962	1	1		
The Horse with the Flying Tail	1960	1	1		
The Hospital	1971	1	2		
The Hours	2002	1	9		
The House on 92nd Street	1945	1	1		
The Human Comedy	1943	1	5		
The Hunt for Red October	1990	1	3		
The Hurricane	1937	1	3		
The Invaders	1942	1	3		
The Johnstown Flood	1989	1	1		
The Joker Is Wild	1957	1	1		
The Last Command	1927/28	1	2		
The Last Days	1998	1	1		
The Last King of Scotland	2006	1	1		
The Last of the Mohicans	1992	1	1		
The Lavender Hill Mob	1952	1	2		
The Little Orphan	1948	1	1		
The Lives of Others(Das Leben der Anderen)	2006	1	1		
The Lives of a Bengal Lancer	1935	1	7		
The Living Desert	1953	1	1		
The Long Way Home	1997	1	1		
The Lunch Date	1990	1	1		
The Madness of King George	1994	1	4		
The Magic Machines	1969	1	2		
The Man Who Knew Too Much	1956	1	1		
The Man Who Planted Trees(L' Homme qui plantait des arbres)	1987	1	1		
The Man Who Skied Down Everest	1975	1	1		
The Merry Widow	1934	1	1		
The Milagro Beanfield War	1988	1	1		
The Milky Way	1940	1	1		
The Mission	1986	1	7		
The Moon and the Son: An Imagined Conversation	2005	1	1		
The More the Merrier	1943	1	6		
The Motorcycle Diaries	2004	1	2		
The Muppets	2011	1	1		
The Music Box	1931/32	1	1		
The Music Man	1962	1	6		
The New Tenants	2009	1	1		
The Night of the Iguana	1964	1	4		
The Nutty Professor	1996	1	1		
The Official Story(La Historia oficial)	1985	1	2		
The Old Man and the Sea	1958	1	3		
The Old Man and the Sea	1999	1	1		
The Old Mill	1937	1	1		
The Omen	1976	1	2		
The Paleface	1948	1	1		
The Panama Deception	1992	1	1		
The Paper Chase	1973	1	3		
The Patriot	1928/29	1	5		
The Personals	1998	1	1		
The Picture of Dorian Gray	1945	1	3		
The Pink Phink	1964	1	1		
The Poseidon Adventure	1972	1	8[13]		
The Pride of the Yankees	1942	1	11		
The Prime of Miss Jean Brodie	1969	1	2		
The Prince of Egypt	1998	1	2		
The Private Life of Henry VIII	1932/33	1	2		
The Private Life of the Gannets	1937	1	1		
The Producers	1968	1	2		
The Public Pays	1936	1	1		
The Queen	2006	1	6		
The Rains Came	1939	1	6		
The Razor's Edge	1946	1	4		
The Reader	2008	1	5		
The Red Balloon(Le ballon rouge)	1956	1	1		
The Red Violin(Le Violon rouge)	1999	1	1		
The Redwoods	1967	1	1		
The Resurrection of Broncho Billy	1970	1	1		
The Sand Castle	1977	1	1		
The Sandpiper	1965	1	1		
The Scoundrel	1935	1	1		
The Sea Around Us	1952	1	1		
The Sea Inside	2004	1	2		
The Search	1948	1	4		
The Secret Land	1948	1	1		
The Secret in Their Eyes	2009	1	1		
The Seventh Veil	1946	1	1		
The Shop on Main Street(Obchod na korze)	1965	1	2		
The Shore	2011	1	1		
The Silent World(Le Monde du silence)	1956	1	1		
The Sin of Madelon Claudet	1931/32	1	1		
The Snake Pit	1948	1	6		
The Solid Gold Cadillac	1956	1	2		
The Stone Carvers	1984	1	1		
The Stratton Story	1949	1	1		
The Subject Was Roses	1968	1	2		
The Sunshine Boys	1975	1	4		
The Ten Commandments	1956	1	7		
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table	1987	1	1		
The Third Man	1950	1	3		
The Thomas Crown Affair	1968	1	2		
The Three Faces of Eve	1957	1	1		
The Time Machine	1960	1	1		
The Times of Harvey Milk	1984	1	1		
The Tin Drum(Die Blechtrommel)	1979	1	1		
The Titan: Story of Michelangelo	1950	1	1		
The Tortoise and the Hare	1934	1	1		
The Trip to Bountiful	1985	1	2		
The True Glory	1945	1	1		
The True Story of the Civil War	1956	1	1		
The Two Mouseketeers	1951	1	1		
The Ugly Duckling	1939	1	1		
The Untouchables	1987	1	4		
The V.I.P.s	1963	1	1		
The Vanishing Prairie	1954	1	1		
The Virgin Spring	1960	1	2		
The War Game	1966	1	1		
The Way of All Flesh	1927/28	1	1		
The Westerner	1940	1	3		
The Wetback Hound	1957	1	1		
The Woman in Red	1984	1	1		
The Wonderful World of the Brothers Grimm	1962	1	4		
The Yankee Doodle Mouse	1943	1	1		
The Year of Living Dangerously	1983	1	1		
The Young Victoria	2009	1	3		
Thelma & Louise	1991	1	6		
They Shoot Horses, Don't They?	1969	1	9		
Thirty Seconds Over Tokyo	1944	1	2		
This Above All	1942	1	4		
